gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
?|100130426,?,0,NA,0,0
?|100133144,?,0,NA,0,0
?|100134869,?,0,NA,0,0
?|10357,?,0,NA,0,0
?|10431,?,0,NA,0,0
?|136542,?,0,NA,0,0
?|155060,?,0,NA,0,0
?|26823,?,0,NA,0,0
?|280660,?,0,NA,0,0
?|317712,?,0,NA,0,0
?|340602,?,0,NA,0,0
?|388795,?,0,NA,0,0
?|390284,?,0,NA,0,0
?|391343,?,0,NA,0,0
?|391714,?,0,NA,0,0
?|404770,?,0,NA,0,0
?|441362,?,0,NA,0,0
?|442388,?,0,NA,0,0
?|553137,?,0,NA,0,0
?|57714,?,0,NA,0,0
?|645851,?,0,NA,0,0
?|652919,?,0,NA,0,0
?|653553,?,0,NA,0,0
?|728045,?,0,NA,0,0
?|728603,?,0,NA,0,0
?|728788,?,0,NA,0,0
?|729884,?,0,NA,0,0
?|8225,?,0,NA,0,0
?|90288,?,0,NA,0,0
A1BG|1,A1BG,0,NA,0,0
A1CF|29974,A1CF,0,NA,0,0
A2BP1|54715,A2BP1,0,NA,0,0
A2LD1|87769,A2LD1,0,NA,0,0
A2ML1|144568,A2ML1,0,NA,0,0
A2M|2,A2M,0,NA,0,0
A4GALT|53947,A4GALT,0,NA,0,0
A4GNT|51146,A4GNT,0,NA,0,0
AAA1|404744,AAA1,0,NA,0,0
AAAS|8086,AAAS,0,NA,0,0
AACSL|729522,AACSL,0,NA,0,0
AACS|65985,AACS,0,NA,0,0
AADACL2|344752,AADACL2,0,NA,0,0
AADACL3|126767,AADACL3,0,NA,0,0
AADACL4|343066,AADACL4,0,NA,0,0
AADAC|13,AADAC,0,NA,0,0
AADAT|51166,AADAT,0,NA,0,0
AAGAB|79719,AAGAB,0,NA,0,0
AAK1|22848,AAK1,0,NA,0,0
AAMP|14,AAMP,0,NA,0,0
AANAT|15,AANAT,0,NA,0,0
AARS2|57505,AARS2,0,NA,0,0
AARSD1|80755,AARSD1,0,NA,0,0
AARS|16,AARS,0,NA,0,0
AASDHPPT|60496,AASDHPPT,0,NA,0,0
AASDH|132949,AASDH,0,NA,0,0
AASS|10157,AASS,0,NA,0,0
AATF|26574,AATF,0,NA,0,0
AATK|9625,AATK,0,NA,0,0
ABAT|18,ABAT,0,NA,0,0
ABCA10|10349,ABCA10,0,NA,0,0
ABCA11P|79963,ABCA11P,0,NA,0,0
ABCA12|26154,ABCA12,0,NA,0,0
ABCA13|154664,ABCA13,0,NA,0,0
ABCA17P|650655,ABCA17P,0,NA,0,0
ABCA1|19,ABCA1,0,NA,0,0
ABCA2|20,ABCA2,0,NA,0,0
ABCA3|21,ABCA3,0,NA,0,0
ABCA4|24,ABCA4,0,NA,0,0
ABCA5|23461,ABCA5,0,NA,0,0
ABCA6|23460,ABCA6,0,NA,0,0
ABCA7|10347,ABCA7,0,NA,0,0
ABCA8|10351,ABCA8,0,NA,0,0
ABCA9|10350,ABCA9,0,NA,0,0
ABCB10|23456,ABCB10,0,NA,0,0
ABCB11|8647,ABCB11,0,NA,0,0
ABCB1|5243,ABCB1,0,NA,0,0
ABCB4|5244,ABCB4,0,NA,0,0
ABCB5|340273,ABCB5,0,NA,0,0
ABCB6|10058,ABCB6,0.039556205,0.208043906,0.068156733,0.21249622
ABCB7|22,ABCB7,0,NA,0,0
ABCB8|11194,ABCB8,0,NA,0,0
ABCB9|23457,ABCB9,0,NA,0,0
ABCC10|89845,ABCC10,0,NA,0,0
ABCC11|85320,ABCC11,0,NA,0,0
ABCC12|94160,ABCC12,0,NA,0,0
ABCC13|150000,ABCC13,0,NA,0,0
ABCC1|4363,ABCC1,0,NA,0,0
ABCC2|1244,ABCC2,0,NA,0,0
ABCC3|8714,ABCC3,0,NA,0,0
ABCC4|10257,ABCC4,0,NA,0,0
ABCC5|10057,ABCC5,0,NA,0,0
ABCC6P1|653190,ABCC6P1,0,NA,0,0
ABCC6P2|730013,ABCC6P2,0,NA,0,0
ABCC6|368,ABCC6,0,NA,0,0
ABCC8|6833,ABCC8,0,NA,0,0
ABCC9|10060,ABCC9,0,NA,0,0
ABCD1|215,ABCD1,0,NA,0,0
ABCD2|225,ABCD2,0,NA,0,0
ABCD3|5825,ABCD3,0,NA,0,0
ABCD4|5826,ABCD4,0,NA,0,0
ABCE1|6059,ABCE1,0,NA,0,0
ABCF1|23,ABCF1,0,NA,0,0
ABCF2|10061,ABCF2,0,NA,0,0
ABCF3|55324,ABCF3,0,NA,0,0
ABCG1|9619,ABCG1,0,NA,0,0
ABCG2|9429,ABCG2,0,NA,0,0
