Clinical	01A	MappedSampleName	01A	MappedFileName
TCGA-BJ-A0YZ	TCGA-BJ-A0YZ-01A	BBDA35E5-0849-4288-813B-E8B7D64CC6CB	TCGA-BJ-A0YZ-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.BBDA35E5-0849-4288-813B-E8B7D64CC6CB.txt
TCGA-BJ-A0Z0	TCGA-BJ-A0Z0-01A	18891CBB-8213-4B77-8EE7-A65B78CC8A27	TCGA-BJ-A0Z0-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.18891CBB-8213-4B77-8EE7-A65B78CC8A27.txt
TCGA-BJ-A0Z2	TCGA-BJ-A0Z2-01A	3CB5E285-457A-4A29-BE3D-626CFF2CB4C4	TCGA-BJ-A0Z2-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.3CB5E285-457A-4A29-BE3D-626CFF2CB4C4.txt
TCGA-BJ-A0Z3	TCGA-BJ-A0Z3-01A	FC7FA283-D65B-4C34-9685-134FB1EC7717	TCGA-BJ-A0Z3-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FC7FA283-D65B-4C34-9685-134FB1EC7717.txt
TCGA-BJ-A0Z5	TCGA-BJ-A0Z5-01A	E225FA7B-CB0A-408A-A67B-BBF32FF0C73C	TCGA-BJ-A0Z5-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.E225FA7B-CB0A-408A-A67B-BBF32FF0C73C.txt
TCGA-BJ-A0Z9	TCGA-BJ-A0Z9-01A	E032DB09-C7CE-481F-A8AA-4044AEC7D863	TCGA-BJ-A0Z9-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.E032DB09-C7CE-481F-A8AA-4044AEC7D863.txt
TCGA-BJ-A0ZA	TCGA-BJ-A0ZA-01A	FF4E69EF-1AB6-42EF-9411-1C91B54CCE0C	TCGA-BJ-A0ZA-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FF4E69EF-1AB6-42EF-9411-1C91B54CCE0C.txt
TCGA-BJ-A0ZB	TCGA-BJ-A0ZB-01A	00A3F219-45AB-4916-B5B3-C43567E5ED95	TCGA-BJ-A0ZB-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.00A3F219-45AB-4916-B5B3-C43567E5ED95.txt
TCGA-BJ-A0ZC	TCGA-BJ-A0ZC-01A	C1E13277-DD26-4679-8F9A-E33285C99F4C	TCGA-BJ-A0ZC-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C1E13277-DD26-4679-8F9A-E33285C99F4C.txt
TCGA-BJ-A0ZE	TCGA-BJ-A0ZE-01A	C6F20D00-27D8-439A-A01F-627FAE43D633	TCGA-BJ-A0ZE-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.C6F20D00-27D8-439A-A01F-627FAE43D633.txt
TCGA-BJ-A0ZF	TCGA-BJ-A0ZF-01A	46BB73B7-1E25-409D-BAA3-6F7BCD0B64E2	TCGA-BJ-A0ZF-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.46BB73B7-1E25-409D-BAA3-6F7BCD0B64E2.txt
TCGA-BJ-A0ZG	TCGA-BJ-A0ZG-01A	89DADF1F-3EB9-4C4C-9C6A-F73AF7411C29	TCGA-BJ-A0ZG-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.89DADF1F-3EB9-4C4C-9C6A-F73AF7411C29.txt
TCGA-BJ-A0ZH	TCGA-BJ-A0ZH-01A	#N/A	TCGA-BJ-A0ZH-01A	0
TCGA-BJ-A0ZJ	TCGA-BJ-A0ZJ-01A	FE1D0220-7223-4547-A583-1E7F8C9978AA	TCGA-BJ-A0ZJ-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.FE1D0220-7223-4547-A583-1E7F8C9978AA.txt
TCGA-BJ-A18Y	TCGA-BJ-A18Y-01A	9EF07B46-7BEB-4815-996D-63210AE7B69A	TCGA-BJ-A18Y-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.9EF07B46-7BEB-4815-996D-63210AE7B69A.txt
TCGA-BJ-A18Z	TCGA-BJ-A18Z-01A	D0D55EFA-C91D-45DE-92BF-CF6F0D263B21	TCGA-BJ-A18Z-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D0D55EFA-C91D-45DE-92BF-CF6F0D263B21.txt
TCGA-BJ-A190	TCGA-BJ-A190-01A	38574189-5A20-4C84-9162-F0AA504B70BE	TCGA-BJ-A190-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.38574189-5A20-4C84-9162-F0AA504B70BE.txt
TCGA-BJ-A191	TCGA-BJ-A191-01A	3A1D3BED-1034-480D-BC8B-D87535DEC250	TCGA-BJ-A191-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.3A1D3BED-1034-480D-BC8B-D87535DEC250.txt
TCGA-BJ-A192	TCGA-BJ-A192-01A	5F90D906-13AC-476A-BD50-830C7ABC6C7A	TCGA-BJ-A192-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.5F90D906-13AC-476A-BD50-830C7ABC6C7A.txt
TCGA-BJ-A28R	TCGA-BJ-A28R-01A	0CA98297-6976-40FA-BBD0-E4B3FF1B6081	TCGA-BJ-A28R-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.0CA98297-6976-40FA-BBD0-E4B3FF1B6081.txt
TCGA-BJ-A28S	TCGA-BJ-A28S-01A	573C000B-53F0-4597-BB9E-162CA41FD051	TCGA-BJ-A28S-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.573C000B-53F0-4597-BB9E-162CA41FD051.txt
TCGA-BJ-A28T	TCGA-BJ-A28T-01A	AAC5305E-5209-42AE-81A5-14E5ABD02FC8	TCGA-BJ-A28T-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.AAC5305E-5209-42AE-81A5-14E5ABD02FC8.txt
TCGA-BJ-A28V	TCGA-BJ-A28V-01A	F8A773AF-3C2E-4E61-97EC-360F48C88183	TCGA-BJ-A28V-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.F8A773AF-3C2E-4E61-97EC-360F48C88183.txt
TCGA-BJ-A28W	TCGA-BJ-A28W-01A	1742D54A-1ABC-4E5C-BA21-0928A269B3D4	TCGA-BJ-A28W-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.1742D54A-1ABC-4E5C-BA21-0928A269B3D4.txt
TCGA-BJ-A28X	TCGA-BJ-A28X-01A	58038ED7-FFF3-450B-B6B0-83347C1D1259	TCGA-BJ-A28X-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.58038ED7-FFF3-450B-B6B0-83347C1D1259.txt
TCGA-BJ-A28Z	TCGA-BJ-A28Z-01A	8685C362-EA71-4AD9-819F-81899259BD34	TCGA-BJ-A28Z-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.8685C362-EA71-4AD9-819F-81899259BD34.txt
TCGA-BJ-A290	TCGA-BJ-A290-01A	D2A005B7-0CBF-4D82-994B-8BA896E138A8	TCGA-BJ-A290-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.D2A005B7-0CBF-4D82-994B-8BA896E138A8.txt
TCGA-BJ-A291	TCGA-BJ-A291-01A	7387C03A-EF0A-4F87-920F-FBF9804CF161	TCGA-BJ-A291-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7387C03A-EF0A-4F87-920F-FBF9804CF161.txt
TCGA-BJ-A2N7	TCGA-BJ-A2N7-01A	0CC0BCBA-F1AA-4348-82C2-5C6D065488BB	TCGA-BJ-A2N7-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.0CC0BCBA-F1AA-4348-82C2-5C6D065488BB.txt
TCGA-BJ-A2N8	TCGA-BJ-A2N8-01A	#N/A	TCGA-BJ-A2N8-01A	0
TCGA-BJ-A2N9	TCGA-BJ-A2N9-01A	0676FA86-54E8-4962-B429-C0279F0B889D	TCGA-BJ-A2N9-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.0676FA86-54E8-4962-B429-C0279F0B889D.txt
TCGA-BJ-A2NA	TCGA-BJ-A2NA-01A	F3375364-29A4-4123-8B25-AABAC1B8C85D	TCGA-BJ-A2NA-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.F3375364-29A4-4123-8B25-AABAC1B8C85D.txt
TCGA-BJ-A2P4	TCGA-BJ-A2P4-01A	68847DD4-E8CB-43E3-A28F-A08C176664A7	TCGA-BJ-A2P4-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.68847DD4-E8CB-43E3-A28F-A08C176664A7.txt
TCGA-BJ-A3EZ	TCGA-BJ-A3EZ-01A	5FA416E8-2383-4284-AC1E-284CDE97305C	TCGA-BJ-A3EZ-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.5FA416E8-2383-4284-AC1E-284CDE97305C.txt
TCGA-BJ-A3F0	TCGA-BJ-A3F0-01A	7E7F4FE0-968B-4948-B2FA-CA4EB448EA1F	TCGA-BJ-A3F0-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.7E7F4FE0-968B-4948-B2FA-CA4EB448EA1F.txt
TCGA-BJ-A3PR	TCGA-BJ-A3PR-01A	F31CEECE-84D8-4F4C-9BE2-340A89FA959D	TCGA-BJ-A3PR-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.F31CEECE-84D8-4F4C-9BE2-340A89FA959D.txt
TCGA-BJ-A3PT	TCGA-BJ-A3PT-01A	#N/A	TCGA-BJ-A3PT-01A	0
TCGA-BJ-A3PU	TCGA-BJ-A3PU-01A	E0870B06-6714-4CEC-A3AD-10A44589C6E4	TCGA-BJ-A3PU-01A	mdanderson.org_THCA.MDA_RPPA_Core.protein_expression.Level_3.E0870B06-6714-4CEC-A3AD-10A44589C6E4.txt
